2021/03/19 11:06:00 [error] 6#6: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.99.1, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "192.168.99.100"
2021/03/19 11:06:00 [error] 6#6: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.99.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "192.168.99.100", referrer: "http://192.168.99.100/"
2021/03/22 08:27:36 [warn] 7#7: *40 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/00/0000000001 while reading upstream, client: 192.168.99.1, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "192.168.99.101", referrer: "http://192.168.99.101/detail/1"
2021/03/22 08:28:05 [warn] 7#7: *40 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/2/00/0000000002 while reading upstream, client: 192.168.99.1, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "192.168.99.101", referrer: "http://192.168.99.101/detail/1"
2021/03/22 08:28:33 [warn] 7#7: *40 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/3/00/0000000003 while reading upstream, client: 192.168.99.1, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "192.168.99.101", referrer: "http://192.168.99.101/detail/1"
2021/03/22 10:11:39 [warn] 7#7: *62 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/4/00/0000000004 while reading upstream, client: 192.168.99.1, server: , request: "GET /detail/1 HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "192.168.99.101", referrer: "http://192.168.99.101/"
2021/03/22 10:12:14 [warn] 7#7: *62 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/5/00/0000000005 while reading upstream, client: 192.168.99.1, server: , request: "GET /detail/1 HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "192.168.99.101", referrer: "http://192.168.99.101/"
2021/03/22 10:12:33 [warn] 7#7: *62 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/6/00/0000000006 while reading upstream, client: 192.168.99.1, server: , request: "GET /detail/1 HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "192.168.99.101", referrer: "http://192.168.99.101/"
2021/03/22 10:43:37 [warn] 7#7: *80 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/7/00/0000000007 while reading upstream, client: 192.168.99.1, server: , request: "GET /detail/1/update HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "192.168.99.101", referrer: "http://192.168.99.101/detail/1"
2021/03/22 10:53:20 [warn] 7#7: *100 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/8/00/0000000008 while reading upstream, client: 192.168.99.1, server: , request: "POST /detail/edit HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "192.168.99.101", referrer: "http://192.168.99.101/detail/1/update"
2021/03/22 11:36:39 [warn] 7#7: *106 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/9/00/0000000009 while reading upstream, client: 192.168.99.1, server: , request: "POST /detail/edit HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "192.168.99.101", referrer: "http://192.168.99.101/detail/1/update"
2021/03/22 11:37:58 [warn] 7#7: *110 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/0/01/0000000010 while reading upstream, client: 192.168.99.1, server: , request: "POST /detail/edit HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "192.168.99.101", referrer: "http://192.168.99.101/detail/1/update"
2021/03/22 11:38:16 [warn] 7#7: *110 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/01/0000000011 while reading upstream, client: 192.168.99.1, server: , request: "POST /detail/edit HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "192.168.99.101", referrer: "http://192.168.99.101/detail/1/update"
2021/03/22 11:45:22 [warn] 7#7: *128 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/2/01/0000000012 while reading upstream, client: 192.168.99.1, server: , request: "GET /detail/1 HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "192.168.99.101", referrer: "http://192.168.99.101/"
2021/03/23 00:06:21 [warn] 7#7: *427 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/3/01/0000000013 while reading upstream, client: 192.168.99.1, server: , request: "GET /home HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "192.168.99.101", referrer: "http://192.168.99.101/register"
